,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184
chromosomes,uce-1038,uce-1088,uce-1107,uce-1135,uce-1172,uce-1183,uce-1201,uce-1241,uce-1242,uce-1246,uce-1257,uce-1290,uce-1291,uce-1295,uce-1318,uce-1336,uce-1490,uce-15,uce-1588,uce-166,uce-1698,uce-171,uce-1742,uce-1743,uce-1757,uce-1774,uce-1775,uce-1796,uce-1810,uce-1875,uce-1919,uce-192,uce-1925,uce-1963,uce-1975,uce-1996,uce-2007,uce-2010,uce-2023,uce-2103,uce-211,uce-2138,uce-220,uce-2210,uce-2261,uce-230,uce-2386,uce-2456,uce-2457,uce-2485,uce-249,uce-2514,uce-2576,uce-2599,uce-261,uce-268,uce-2704,uce-2817,uce-299,uce-2998,uce-3028,uce-3032,uce-3082,uce-320,uce-3248,uce-3309,uce-3323,uce-3338,uce-334,uce-3384,uce-3436,uce-3462,uce-3472,uce-353,uce-353,uce-353,uce-3564,uce-3648,uce-3746,uce-3851,uce-3874,uce-3905,uce-3946,uce-3988,uce-4010,uce-4096,uce-4099,uce-412,uce-4174,uce-418,uce-4211,uce-436,uce-4386,uce-4416,uce-442,uce-4423,uce-4453,uce-4559,uce-4593,uce-4607,uce-463,uce-4688,uce-4778,uce-4827,uce-4830,uce-4891,uce-4933,uce-5029,uce-5038,uce-5208,uce-5313,uce-5314,uce-5395,uce-5542,uce-5573,uce-5578,uce-575,uce-5797,uce-5803,uce-5889,uce-5953,uce-6140,uce-6258,uce-6261,uce-6264,uce-6278,uce-641,uce-6449,uce-6595,uce-66,uce-6627,uce-6657,uce-6676,uce-6718,uce-6732,uce-6806,uce-6887,uce-6892,uce-6944,uce-6948,uce-697,uce-6988,uce-6990,uce-7062,uce-7063,uce-708,uce-7122,uce-7147,uce-7170,uce-718,uce-7210,uce-7212,uce-7215,uce-7240,uce-7269,uce-7283,uce-7286,uce-7325,uce-7415,uce-744,uce-7532,uce-7615,uce-7622,uce-7627,uce-7669,uce-786,uce-7872,uce-7941,uce-7947,uce-7969,uce-8005,uce-814,uce-837,uce-845,uce-884,uce-899,uce-906,uce-915,uce-917,uce-934,uce-950,uce-958,uce-99,uce-997
Bos_indicus_2,0.612849471,0.727513919,0.704933183,0.614591073,0.843400679,0.612935012,0.606269473,0.610068255,0.604598137,0.764133891,0.704964807,0.762634007,0.617210398,0.618241519,0.766042487,0.610060869,0.854253042,0.828139786,0.709791305,0.834037687,0.613291863,0.612788482,0.613898747,0.703283428,0.760454827,0.616654132,0.762026454,0.759651341,0.602480522,0.702104369,0.609311165,0.629291001,0.843118424,0.843775414,0.759566436,0.607071558,0.628737813,0.605008413,0.842513814,0.845678089,0.765544018,0.830532947,0.702313737,0.606818361,0.843722393,0.604676662,0.743439068,0.612762942,0.608093353,0.809857267,0.61302779,0.847296923,0.615644073,0.743166373,0.848902273,0.612571047,0.621303925,0.766108025,0.631447798,0.764563999,0.858567623,0.60539364,0.851610771,0.832401858,0.618949511,0.613062144,0.847306064,0.62619331,0.761076247,0.613741241,0.607876138,0.619383678,0.85579119,0.758550694,0.758550268,0.758550481,0.603853217,0.607118501,0.750252844,0.613451934,0.711472394,0.606414418,0.827494531,0.703295021,0.760437276,0.743243682,0.766224758,0.604917825,0.759627088,0.61024164,0.612952136,0.60998953,0.854382989,0.756558498,0.711626629,0.702332083,0.72752021,0.609387345,0.613231378,0.608975334,0.705155487,0.606513344,0.70158921,0.852891137,0.743016501,0.619027027,0.616213134,0.7616778,0.605760768,0.836036339,0.83464116,0.743266756,0.612471538,0.843037915,0.840520295,0.608247773,0.647305275,0.710192604,0.608928278,0.762402348,0.843856577,0.763984503,0.847271959,0.742263059,0.612533536,0.604654214,0.709108583,0.602462161,0.616366467,0.607052721,0.607035568,0.608958452,0.620271297,0.705172455,0.620435406,0.810731977,0.608240736,0.613195282,0.760569732,0.127678476,0.701118315,0.577715935,0.615304993,0.603330502,0.759703573,0.61326973,0.703129043,0.840687411,0.709312939,0.742318951,0.633454424,0.761106571,0.615835869,0.607140387,0.887980865,0.844584913,0.603676342,0.612876788,0.606621283,0.617312544,0.630796671,0.621833137,0.618536257,0.630989285,0.602469525,0.627773077,0.619136957,0.604345537,0.887874696,0.700924244,0.842571889,0.613301189,0.827802135,0.621660299,0.890750239,0.829352275,0.612885994,0.630221867,0.76062588,0.607749191,0.7587743,0.845929722,0.702739374,0.843799561
Bos_taurus_2,0.616432876,0.728599032,0.705667469,0.618228442,0.843125493,0.616521204,0.609782985,0.613655419,0.607977465,0.763998591,0.705700127,0.762450156,0.620950178,0.622010787,0.765958305,0.613647792,0.853637527,0.828046733,0.710568479,0.833645433,0.616892162,0.616369895,0.617518333,0.703976094,0.760385393,0.620331949,0.761840773,0.759555516,0.606357622,0.702759543,0.612873689,0.63338377,0.842834531,0.843490725,0.75946786,0.61060994,0.632806633,0.608401303,0.842210753,0.845368446,0.76544241,0.830513211,0.702972211,0.610348656,0.843436009,0.608058518,0.743262232,0.61634352,0.611615268,0.809352588,0.616617012,0.847056621,0.619316168,0.742980571,0.848711112,0.616145416,0.624985659,0.766025977,0.635554126,0.764442594,0.858010082,0.608794701,0.85131581,0.832243051,0.622551882,0.616652473,0.847066061,0.630194139,0.761027016,0.617355698,0.611414675,0.623000216,0.855230262,0.758570682,0.758570242,0.758570462,0.607209336,0.610658409,0.750556962,0.617057454,0.712264891,0.60993149,0.827380513,0.703988726,0.760367262,0.743060406,0.766146522,0.608307764,0.759530478,0.613834387,0.616538887,0.613574159,0.853772826,0.756810695,0.712424076,0.702991157,0.728605528,0.612952342,0.616829702,0.612526918,0.70589702,0.61003364,0.702227726,0.852637953,0.742825849,0.62263193,0.619876495,0.761480877,0.609174394,0.835314853,0.834264976,0.743084233,0.616042671,0.8427514,0.840056612,0.611774645,0.651905965,0.710947027,0.612478302,0.762210974,0.843574428,0.763844309,0.847030864,0.74204784,0.616106695,0.608035359,0.709870629,0.606376582,0.62003488,0.610590488,0.610572775,0.612509484,0.623919691,0.705914542,0.62408916,0.810746293,0.611767377,0.616792427,0.760504066,0.12895244,0.70174156,0.58349989,0.61896544,0.606669599,0.759609359,0.616869306,0.703814412,0.840229186,0.710081674,0.742105544,0.637631816,0.76105833,0.619496134,0.61068112,0.887860887,0.844250177,0.60702672,0.616461085,0.610145141,0.621055653,0.634881049,0.625506311,0.622316687,0.635079961,0.606368977,0.631815487,0.622745451,0.607717986,0.887750809,0.701544417,0.842271099,0.616901792,0.827698069,0.625342831,0.890422416,0.829264385,0.616470591,0.634287998,0.760562048,0.611285256,0.758804909,0.845628174,0.703410606,0.843515617
Bubalus_bubalis_2,0.445220834,0.526654732,0.510051085,0.446535542,0.609267753,0.445284911,0.440395228,0.443190439,0.439100769,0.552386294,0.510077035,0.551207309,0.448521072,0.449309532,0.553789919,0.443184906,0.616934142,0.59837133,0.51361286,0.602436165,0.445553698,0.445175209,0.44601565,0.508811562,0.549727581,0.448080128,0.550763633,0.549126356,0.437925689,0.507893247,0.442625252,0.457570498,0.609054827,0.609531039,0.549064708,0.441003866,0.457179467,0.43940394,0.608604311,0.610916641,0.55339841,0.600162164,0.508045641,0.440800841,0.609491387,0.439159707,0.53733174,0.445156162,0.441725799,0.584779056,0.44535392,0.612124325,0.447323518,0.537126457,0.613330282,0.445016439,0.451515582,0.553838775,0.459242494,0.552705382,0.620066235,0.439688441,0.615299837,0.601421536,0.449705967,0.445379685,0.612131197,0.455282529,0.550176162,0.445899406,0.441587739,0.45006484,0.618078764,0.54842845,0.548428132,0.548428291,0.438534333,0.441038857,0.542614256,0.445673046,0.514834786,0.440501475,0.597891749,0.508820729,0.549714465,0.537184092,0.553931725,0.439340437,0.549108197,0.443311934,0.445297751,0.443131245,0.617042888,0.54712113,0.514950653,0.508059352,0.526659451,0.442684642,0.445508556,0.442379998,0.510215032,0.440575629,0.507488914,0.616266742,0.537013858,0.449761052,0.447739675,0.550514191,0.439963621,0.603625897,0.602881643,0.537203044,0.44494203,0.608994943,0.607107147,0.441840874,0.471268573,0.513885658,0.442344784,0.55103641,0.609591688,0.552230144,0.612105708,0.536460592,0.444988362,0.439142902,0.51310186,0.437939417,0.447857631,0.440989745,0.440976916,0.442367387,0.45072902,0.510227723,0.450852572,0.585810755,0.441835681,0.44548167,0.549813628,0.254877783,0.507136536,0.421154928,0.44706907,0.438153836,0.549165306,0.44553718,0.508685199,0.607233419,0.51325818,0.536502103,0.460867834,0.55019885,0.447463162,0.441055369,0.641602762,0.610060613,0.438406976,0.445241231,0.440656568,0.448597569,0.4587469,0.45190495,0.449534134,0.458887586,0.437933906,0.456435059,0.449843257,0.438911626,0.641523289,0.506995356,0.608648629,0.445560638,0.598119353,0.451786766,0.643452783,0.599252597,0.445248119,0.458260501,0.549855533,0.441493093,0.54859953,0.611105928,0.508368895,0.609549177
Camelus_ferus_5,0.250589077,0.367604589,0.342458139,0.25286192,0.494607089,0.250711503,0.242863186,0.2473146,0.240774493,0.405935408,0.34248578,0.40445158,0.255777387,0.256933052,0.407792585,0.247304369,0.506860856,0.477244659,0.34784042,0.483940188,0.251216196,0.250502958,0.251985383,0.340693871,0.402002053,0.255034264,0.403772015,0.400978789,0.238989047,0.33940129,0.246485726,0.268599672,0.494260142,0.495107891,0.400867782,0.243777872,0.268081552,0.241319497,0.493592826,0.497322347,0.407410839,0.480240224,0.339677479,0.2435478,0.495031756,0.240880768,0.383734124,0.250466099,0.245017803,0.456292523,0.250844026,0.499269536,0.25397918,0.383401803,0.501245082,0.250230671,0.260010783,0.407887092,0.271188327,0.406478486,0.51171838,0.241782478,0.50420852,0.482259429,0.257489639,0.250892877,0.499282849,0.265295914,0.402780283,0.251823939,0.244741788,0.257998204,0.508508156,0.399859378,0.399858764,0.399859071,0.239909826,0.243839781,0.391599851,0.251447774,0.349827528,0.243051975,0.476306275,0.340711486,0.401976655,0.383503059,0.408014669,0.241201158,0.400943579,0.247471149,0.250736471,0.247210301,0.507045958,0.398025019,0.350097183,0.339703502,0.367613725,0.246556576,0.251131623,0.246089488,0.342715872,0.243183454,0.338848574,0.505816924,0.383243656,0.257574068,0.254530031,0.403337792,0.242224402,0.485764153,0.484570902,0.383536466,0.250091716,0.494166362,0.491433509,0.245229758,0.287634074,0.348287495,0.246021424,0.404162548,0.495220228,0.405796668,0.49923282,0.382385154,0.250178625,0.240848088,0.34706052,0.23901548,0.254761148,0.243751408,0.243726809,0.246065278,0.258885781,0.342740544,0.259065394,0.457801873,0.245219649,0.2510831,0.402166417,0.837667286,0.338391902,0.216057739,0.253641031,0.239291525,0.401052936,0.251184499,0.340520895,0.491618498,0.347331476,0.382462445,0.273345422,0.402824577,0.254164323,0.243871703,0.543562552,0.496069677,0.239656373,0.25062821,0.243298044,0.255922149,0.270452763,0.260582209,0.257265107,0.270666346,0.239004726,0.266739781,0.257691629,0.24045358,0.543464818,0.338195145,0.493675044,0.251229275,0.476778473,0.260408577,0.54623578,0.478755033,0.250641513,0.269661229,0.402247088,0.244631222,0.400133805,0.497671905,0.340102208,0.495140264
Capra_aegagrus_2,0.605005871,0.717997651,0.696104404,0.607033567,0.85291689,0.605105157,0.597428606,0.601700825,0.595467109,0.75929915,0.696142787,0.75756897,0.609999152,0.61117499,0.766461539,0.601692702,0.864675086,0.829268373,0.697755364,0.83549609,0.605533742,0.604935111,0.606247337,0.694307688,0.755384404,0.609363496,0.756917488,0.754428995,0.593636306,0.69301556,0.60074979,0.620018287,0.852588052,0.853344311,0.75433468,0.598308373,0.619439324,0.595922072,0.85185243,0.855318446,0.765987048,0.83194366,0.693257945,0.598021426,0.853286384,0.595557162,0.734135429,0.604907038,0.599343604,0.814950165,0.60520685,0.85730868,0.608229174,0.733851208,0.859436358,0.604680048,0.614337117,0.766543125,0.622422546,0.764631955,0.869473177,0.596371293,0.862253588,0.833936433,0.611767427,0.605250693,0.857318843,0.616623656,0.756052476,0.606071018,0.599140235,0.612237958,0.866457835,0.753333135,0.753332666,0.7533329,0.594610509,0.598361582,0.744420085,0.605756451,0.699575911,0.597585749,0.828514028,0.6943211,0.755365236,0.73393106,0.766683998,0.595824293,0.754402211,0.601901249,0.605124474,0.601558171,0.864848577,0.751387994,0.699765689,0.693278089,0.718004571,0.600852989,0.605448125,0.6003867,0.696339391,0.597694471,0.692418014,0.86369215,0.733709445,0.611861965,0.608831727,0.756561031,0.596789474,0.837307428,0.836193235,0.733956353,0.604566343,0.85249228,0.849599197,0.599526609,0.640993899,0.698142402,0.600329094,0.757317204,0.853441535,0.759160465,0.85728106,0.732817219,0.604634455,0.595532495,0.69697047,0.593656482,0.609038244,0.598287768,0.598268779,0.600368141,0.613178394,0.696358036,0.613350744,0.816529873,0.599519079,0.605406328,0.755509295,0.691672027,0.691918926,0.567731386,0.607848737,0.594010175,0.754486172,0.605490172,0.694127628,0.849776274,0.697189859,0.732880786,0.62475988,0.756085923,0.608426068,0.598385796,0.902480286,0.854132142,0.594406695,0.605039459,0.59781191,0.610112764,0.621722894,0.614917346,0.611494298,0.621923521,0.593648366,0.618363163,0.611969796,0.595177943,0.902373227,0.691678385,0.851923604,0.605543975,0.82889388,0.61474298,0.905215765,0.830648407,0.605049574,0.62106625,0.755571057,0.599020812,0.753651591,0.855629772,0.693726538,0.853372485
Capra_hircus_2,0.616004122,0.726737307,0.703562814,0.617801208,0.841961436,0.616092224,0.609269995,0.613153574,0.60743834,0.762383628,0.703598818,0.760760278,0.620585769,0.621701511,0.764513655,0.613145955,0.852466125,0.826855842,0.708537338,0.832547913,0.616465579,0.615941409,0.61708005,0.701927568,0.758679756,0.619980587,0.760154627,0.757831802,0.60574323,0.700736367,0.612337602,0.632766521,0.841671818,0.842363924,0.757743315,0.610095086,0.632214909,0.607865177,0.840983207,0.844180006,0.764066826,0.829349796,0.700955792,0.609824808,0.842309591,0.607522802,0.741175959,0.615915096,0.611050958,0.808188672,0.616187587,0.845974668,0.618908988,0.740908339,0.847626594,0.615722994,0.624616186,0.76459022,0.635014172,0.762840771,0.856752228,0.60828436,0.850224056,0.831164082,0.622246844,0.616222778,0.845984198,0.629573019,0.759313478,0.616914679,0.61086027,0.622678436,0.854110528,0.756860298,0.756859858,0.756860078,0.606638887,0.610143566,0.748696769,0.616630416,0.710210735,0.609416027,0.826160154,0.701940124,0.758661765,0.740983227,0.764722209,0.60777347,0.757806676,0.613339639,0.61611034,0.613073704,0.852626698,0.755015369,0.71038919,0.700974684,0.72674379,0.612419039,0.616403335,0.611995205,0.703783866,0.609518019,0.700186718,0.851550543,0.740775471,0.622325541,0.619483103,0.759821115,0.608673259,0.834181569,0.833156377,0.741006946,0.61562057,0.841584954,0.838936976,0.611221282,0.650739534,0.708900862,0.611946608,0.76053067,0.8424475,0.76225344,0.845948772,0.740006638,0.615684448,0.607499653,0.707821498,0.605762152,0.619679805,0.610075762,0.610057954,0.6119778,0.623559303,0.703801352,0.623720836,0.809637794,0.61121422,0.616364122,0.758797117,0.699517541,0.699728704,0.582326698,0.618552035,0.606088236,0.757885417,0.616442775,0.701758666,0.839099124,0.708026676,0.740061799,0.637050851,0.759344853,0.619090468,0.610166275,0.88690833,0.843090686,0.606452602,0.616032149,0.609628201,0.620692324,0.634339296,0.625145835,0.622001633,0.634527845,0.605754541,0.631218074,0.622426669,0.607169973,0.886807466,0.699523497,0.841043517,0.616475205,0.826509005,0.624981658,0.88944001,0.828133278,0.616041635,0.633730246,0.75885498,0.61074817,0.757101744,0.844458423,0.701385626,0.842388757
Ceratotherium_simum_9,0.325560508,0.47887519,0.445971532,0.328200107,0.648382347,0.325700454,0.31566062,0.321257045,0.313145967,0.530782746,0.4460041,0.528760935,0.331907522,0.333387866,0.533364888,0.321244731,0.663793852,0.625797987,0.452972824,0.634372037,0.326290274,0.325461735,0.327145176,0.443637986,0.525491234,0.331054118,0.527931314,0.524221427,0.310790266,0.441513063,0.320320605,0.347339555,0.647961106,0.648887455,0.524088868,0.316812007,0.346688082,0.313765835,0.647099513,0.651741989,0.532735072,0.629624417,0.441846799,0.316493557,0.648799748,0.313268512,0.500222477,0.325418922,0.318274237,0.597900423,0.325855067,0.654245541,0.329703082,0.499819041,0.656567142,0.325134228,0.336696541,0.533468202,0.35042671,0.531406025,0.670176643,0.314346669,0.660219703,0.632178603,0.334108896,0.325911823,0.654261207,0.343714521,0.526464045,0.327014061,0.317966104,0.334605268,0.666049402,0.522934385,0.522933672,0.522934029,0.311832693,0.316883965,0.511250454,0.326556853,0.455715356,0.315878622,0.624549718,0.443658632,0.525462137,0.499940481,0.533649582,0.313629158,0.52418111,0.321431246,0.325729896,0.321131741,0.664021529,0.520322825,0.456039143,0.441874909,0.478885792,0.320407028,0.326193807,0.319871064,0.446255798,0.316029135,0.440553588,0.662256158,0.499614019,0.334207764,0.330443284,0.5272458,0.3148794,0.636973197,0.635190817,0.499979883,0.32497095,0.647824215,0.644252895,0.318519695,0.371949886,0.453563393,0.31979245,0.528420305,0.649018748,0.53058835,0.654202478,0.498486963,0.32507418,0.313231095,0.451935353,0.310820896,0.330695065,0.316781306,0.316752541,0.319843001,0.33530772,0.446284455,0.335518316,0.599772043,0.318507726,0.326137253,0.525683348,0.74068924,0.439602969,0.279069017,0.329204975,0.311154477,0.524307505,0.326254259,0.443402227,0.644492172,0.452189928,0.498580174,0.353044189,0.526515844,0.329996667,0.31692074,0.710058011,0.65013872,0.311552207,0.325605069,0.316200115,0.332089747,0.349492445,0.337404556,0.333802332,0.349734373,0.310808451,0.345633222,0.334329156,0.312762857,0.709932423,0.439313259,0.647198238,0.326305357,0.625252621,0.337213131,0.713349142,0.627627293,0.325620509,0.34866462,0.525784236,0.317803075,0.52323736,0.65214029,0.442601098,0.64892555
Cricetulus_griseus_6,0.170770803,0.261413098,0.242620695,0.172236816,0.351306902,0.170849486,0.165705759,0.168835038,0.164427701,0.290363357,0.24263748,0.289180716,0.174537842,0.175361179,0.291687858,0.168828342,0.359642192,0.339733845,0.247063556,0.344308336,0.171180457,0.170716771,0.171681698,0.24099258,0.28728642,0.174005556,0.288744168,0.286622556,0.163226571,0.239785095,0.168342479,0.183851804,0.35104457,0.35157239,0.286552604,0.166390154,0.183598494,0.164749084,0.350625868,0.35308793,0.291398812,0.341614968,0.240002546,0.166248436,0.351523839,0.164497284,0.273225494,0.170692679,0.167262973,0.325821957,0.170939582,0.354549136,0.173110901,0.273038458,0.355786875,0.170556918,0.17739418,0.291745,0.185988074,0.29072349,0.362946554,0.165039736,0.357737382,0.343043246,0.175681585,0.170969779,0.35455704,0.181792809,0.287825061,0.171604216,0.167033627,0.175966724,0.360807514,0.285843914,0.285843529,0.285843721,0.163865051,0.166434919,0.279507906,0.171325362,0.248433767,0.165814722,0.339164043,0.241003736,0.28727101,0.273086982,0.291844485,0.164675118,0.286599827,0.168903722,0.170868148,0.168772241,0.359749157,0.284299765,0.24855798,0.240018759,0.261418496,0.168386448,0.171126695,0.168104638,0.2427795,0.165911771,0.239238909,0.358876588,0.272955649,0.175732815,0.173555121,0.288275682,0.16530284,0.345422705,0.344654408,0.273106023,0.170471475,0.350988983,0.34887818,0.167450028,0.198296505,0.247344068,0.16806385,0.288989465,0.351641697,0.290254734,0.354527068,0.272302177,0.170524652,0.164478044,0.246473004,0.163243241,0.173700599,0.166372899,0.166356037,0.168090166,0.176427994,0.242794698,0.176553434,0.326837541,0.167444142,0.171096749,0.287392549,0.421246027,0.238764864,0.143721041,0.172823191,0.163441709,0.286669198,0.171160278,0.240862853,0.348976431,0.246645664,0.272348491,0.187936396,0.287851505,0.173244168,0.166455194,0.383375715,0.352172087,0.163653518,0.170796129,0.166037604,0.174623954,0.185264993,0.177992315,0.17557721,0.185470491,0.163236506,0.182948769,0.175811775,0.164236346,0.38330094,0.238631847,0.350675228,0.171188438,0.339443032,0.177836858,0.385084178,0.34072066,0.170804541,0.184723408,0.287441119,0.16693821,0.28601243,0.353359477,0.240475685,0.351591855
