,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184
Desmodus_rotundus_2,0.646128886,0.707720086,0.695042371,0.647223052,0.773465519,0.646184546,0.642153451,0.644409588,0.641102088,0.727984458,0.695051861,0.727252553,0.648744198,0.649314349,0.728816454,0.644404616,0.779422209,0.764698961,0.697984168,0.768138063,0.64642125,0.646089045,0.646750188,0.693988825,0.726034344,0.648380285,0.726937412,0.725534711,0.640245233,0.693188021,0.644051597,0.65513185,0.773292806,0.773714738,0.725482511,0.642651637,0.654797047,0.641358221,0.772942782,0.774782842,0.728654786,0.76625267,0.69337346,0.642513849,0.773680155,0.641150908,0.71632079,0.646071741,0.64327334,0.754453426,0.646245254,0.775799144,0.647773893,0.716156376,0.776741208,0.645953215,0.650851237,0.728863426,0.656473031,0.728202301,0.781937736,0.64159289,0.778151479,0.76726156,0.649641592,0.646268059,0.775805348,0.653663226,0.726408831,0.646707944,0.643132204,0.649893632,0.78032394,0.725008318,0.725008031,0.725008174,0.640701141,0.642680322,0.720616166,0.646529699,0.698919143,0.642267774,0.76424212,0.693997002,0.726022581,0.716209543,0.728935219,0.641299801,0.725518477,0.644484189,0.646196409,0.644361584,0.779500784,0.723916354,0.699012863,0.693385562,0.707724304,0.64408736,0.64638222,0.643874058,0.695179667,0.642334195,0.692910883,0.778942712,0.716055072,0.649696855,0.648090343,0.726697818,0.64184366,0.769079339,0.76844699,0.716225203,0.645887482,0.773248991,0.771746863,0.643372242,0.665424046,0.698139726,0.643842465,0.727116236,0.773763406,0.7279262,0.775781936,0.715647081,0.645929144,0.641135639,0.697528353,0.64025755,0.648211921,0.642639391,0.642627867,0.643862777,0.650240433,0.695192089,0.650318172,0.75530732,0.643367667,0.646359424,0.72611546,0.551306225,0.692634371,0.628437349,0.647610754,0.640395314,0.725569275,0.646406798,0.69388062,0.771824253,0.697661781,0.715683283,0.657551484,0.726429301,0.647880728,0.642695194,0.796567657,0.774141275,0.640581349,0.64614681,0.642405801,0.648813374,0.656058296,0.651165103,0.64948801,0.656167295,0.640252573,0.654408394,0.649747405,0.640960178,0.796521177,0.692530426,0.772980016,0.646427726,0.764475701,0.651065618,0.797793526,0.765484223,0.646153081,0.65565927,0.726154107,0.643069314,0.725112191,0.774939543,0.693633666,0.773729296
Equus_asinus_4,0.305295491,0.441243545,0.411613063,0.307672537,0.592031157,0.30542379,0.296428241,0.301569606,0.294065864,0.487612469,0.411645512,0.485649635,0.31093169,0.312207151,0.489853693,0.30155837,0.605630135,0.571932643,0.41799333,0.579602094,0.305957798,0.305206164,0.306739664,0.409634506,0.482964085,0.310166732,0.484921247,0.481818408,0.292132627,0.407843633,0.30074962,0.324491665,0.591628342,0.592502227,0.481697998,0.297526736,0.323980268,0.294628834,0.590849231,0.594936593,0.489408744,0.575279757,0.40814964,0.297209127,0.592421573,0.294176566,0.460629459,0.30516743,0.29890613,0.547102757,0.30556454,0.597066039,0.308945954,0.460253938,0.599135109,0.304905344,0.315188559,0.48995247,0.327370927,0.488158208,0.611180977,0.295181935,0.602572185,0.577653962,0.312830746,0.305615543,0.597079891,0.321367591,0.48379096,0.306620621,0.298613964,0.313285661,0.607514855,0.480570519,0.480569874,0.480570197,0.293115147,0.297594292,0.470368582,0.30619964,0.420199362,0.296634599,0.570804734,0.409653286,0.482937696,0.460371345,0.490109623,0.294503226,0.481781891,0.301713801,0.305450524,0.301459538,0.605814968,0.478401737,0.420493089,0.408177224,0.44125307,0.30082783,0.305869686,0.300334192,0.411874708,0.296777082,0.40711954,0.604375101,0.460046181,0.312923507,0.309633132,0.484394794,0.295692632,0.581923455,0.580391278,0.460406441,0.304757749,0.591510204,0.588469667,0.299133647,0.34698678,0.418437333,0.300262966,0.485353885,0.592617826,0.487441078,0.597026778,0.459006868,0.304851145,0.294142449,0.416973852,0.292160706,0.309855709,0.297498916,0.297473064,0.30030862,0.313919964,0.411900742,0.314103312,0.549022585,0.299122982,0.305818425,0.483139588,0.523223858,0.406317214,0.263676257,0.308573715,0.292493544,0.481896241,0.30592451,0.409413791,0.588674325,0.417247098,0.459087467,0.329767625,0.483837604,0.30920056,0.297627806,0.64719094,0.593612313,0.292879214,0.30533711,0.296942618,0.311093029,0.326421114,0.315741455,0.312563666,0.326655691,0.292149395,0.32303518,0.313030883,0.293710641,0.647083844,0.40604894,0.590934728,0.305971402,0.571450004,0.315574111,0.650127167,0.573590503,0.305351122,0.325679521,0.483228173,0.298428571,0.480857143,0.595283067,0.408809977,0.592536139
Equus_caballus_18,0.332131598,0.485896987,0.452557211,0.334803699,0.654792937,0.332275376,0.322176606,0.327941747,0.319529856,0.537767837,0.452593646,0.535549106,0.338455442,0.339893476,0.540232887,0.327929114,0.670071088,0.632235331,0.459808739,0.640875945,0.332875487,0.332031249,0.333754406,0.450173368,0.532530193,0.337612547,0.534727894,0.531239205,0.317358122,0.44815646,0.327025474,0.353676649,0.654341493,0.655321922,0.531103764,0.323407455,0.353027313,0.320158004,0.653455532,0.657978655,0.53972797,0.635998871,0.448503889,0.323050962,0.655231301,0.319654479,0.507696268,0.331987699,0.324960152,0.604255596,0.3324333,0.660370158,0.336235125,0.507273816,0.662704534,0.331692762,0.343244074,0.54034409,0.356918972,0.538383449,0.676330679,0.32077203,0.666578745,0.638626296,0.340594711,0.332490728,0.660385864,0.350058484,0.533458155,0.333620393,0.324631914,0.341108812,0.672186603,0.529837776,0.52983705,0.529837413,0.318462303,0.323483518,0.518513505,0.333147301,0.462373532,0.322408487,0.630977062,0.450194484,0.532500523,0.507405905,0.54052106,0.320016912,0.531198208,0.328102598,0.332305458,0.327817982,0.670278938,0.52741647,0.462703428,0.448534915,0.485907684,0.327113396,0.332776421,0.326564688,0.452851556,0.322565467,0.447338286,0.668603361,0.507037385,0.340698992,0.337008842,0.534135939,0.321346706,0.643460704,0.641753242,0.507445329,0.331526949,0.654208762,0.650773593,0.325215109,0.379177201,0.460308404,0.326484583,0.53521656,0.655452147,0.537575162,0.66032593,0.505866519,0.331631836,0.319616132,0.458660101,0.317389535,0.33725879,0.323376235,0.323347134,0.326535937,0.341818154,0.452880754,0.342024431,0.606335003,0.325203105,0.332718798,0.532725434,0.511801018,0.446429686,0.285776728,0.335816763,0.317764045,0.531326716,0.332838061,0.449922598,0.651000502,0.45896519,0.505957066,0.359603331,0.53351061,0.33652158,0.323521247,0.717370752,0.656488795,0.318197327,0.33217833,0.322751705,0.338639878,0.355845636,0.343936694,0.340294522,0.356112028,0.317376817,0.351939564,0.34082255,0.319130286,0.717250692,0.446128263,0.653551634,0.332890782,0.631694706,0.343748664,0.720653576,0.634093747,0.332194085,0.355008984,0.532825142,0.324423363,0.5301581,0.658368387,0.449241801,0.655360293
Felis_catus_C1,0.610987533,0.67168421,0.658676389,0.612051819,0.738548035,0.611040116,0.607110909,0.609321088,0.606140313,0.691710565,0.658689972,0.690977042,0.613464048,0.614045183,0.692743689,0.609316364,0.744633413,0.729298239,0.661455477,0.732668174,0.611266359,0.610949741,0.611630893,0.657876426,0.689791503,0.613119607,0.690647519,0.689268299,0.605320292,0.657166327,0.608954244,0.619787131,0.738365788,0.738762762,0.689216796,0.607578588,0.619468397,0.606383843,0.738078506,0.739872127,0.692527612,0.730794119,0.657306004,0.607441293,0.738727552,0.606188727,0.680277366,0.610932242,0.608177519,0.718082244,0.61109866,0.740845011,0.612592676,0.680116223,0.741740213,0.610817826,0.615569103,0.692783466,0.621064173,0.69195659,0.747131683,0.606614373,0.743285052,0.731791694,0.614329135,0.611120436,0.740850809,0.618289175,0.690163397,0.611574623,0.608046966,0.614572326,0.745521792,0.688723114,0.688722844,0.688722979,0.605732775,0.607605915,0.684344567,0.61136893,0.662495692,0.607202984,0.728777593,0.657884381,0.689780172,0.680161135,0.692852681,0.60633584,0.689252672,0.609430523,0.611051523,0.609271497,0.744711784,0.687784719,0.662613105,0.657317745,0.671688244,0.608989558,0.611228752,0.608772358,0.658791555,0.607265693,0.656874162,0.744086753,0.680034765,0.614367445,0.612869133,0.690410623,0.606818785,0.73370729,0.733016144,0.680175877,0.610756461,0.738319689,0.73681436,0.608273028,0.629913565,0.661669932,0.608742174,0.690845578,0.738812069,0.69163676,0.740828545,0.6795943,0.610794957,0.606174485,0.661026449,0.605331871,0.612981388,0.607566828,0.607555962,0.608761618,0.614947122,0.658801766,0.615028422,0.718852164,0.608268543,0.611206321,0.68986579,0.688153455,0.656523278,0.593331395,0.612434624,0.605470695,0.689302615,0.611252393,0.657786575,0.736893246,0.661152115,0.679630765,0.622166061,0.690183396,0.612701019,0.607620436,0.763048596,0.739216218,0.605630533,0.611004409,0.607331908,0.613532569,0.620694882,0.615843019,0.614198744,0.620792688,0.605327146,0.619064519,0.614416165,0.605981373,0.763001261,0.656408839,0.738115372,0.611272261,0.729083259,0.615779299,0.764346666,0.730073411,0.611010361,0.620325618,0.68990415,0.607982962,0.688846786,0.74002406,0.657548189,0.738777211
Giraffa_tippelskirchi_3,0.415817447,0.491109114,0.475293223,0.417141952,0.570616315,0.415883246,0.411160215,0.413856098,0.409907285,0.515603811,0.475314294,0.514606079,0.418962237,0.419684215,0.516861078,0.41385061,0.577927718,0.560188745,0.478635203,0.564031081,0.416149727,0.415771817,0.416618661,0.474233766,0.513188802,0.418556246,0.514209171,0.512593276,0.4087857,0.473438155,0.413330859,0.427291677,0.570418694,0.570906825,0.51253115,0.411769793,0.426943519,0.410209099,0.56998869,0.572119543,0.516566526,0.561847073,0.473600654,0.411584574,0.570858963,0.409965612,0.501159257,0.41575261,0.412453334,0.547113616,0.415951497,0.573341141,0.417876133,0.500968551,0.574483813,0.415622556,0.421645171,0.516915031,0.428765879,0.515902171,0.580972017,0.410496374,0.576363895,0.563102817,0.420022927,0.41597679,0.573347941,0.425120897,0.513647649,0.416512814,0.4123061,0.420291782,0.579124211,0.511927708,0.511927393,0.51192755,0.409351765,0.411804622,0.506205453,0.416267678,0.479733715,0.411268624,0.559719922,0.474242808,0.513175712,0.501022503,0.51700429,0.410144834,0.51257536,0.413978726,0.415895922,0.413799456,0.578031045,0.510553,0.479842692,0.473614275,0.491113766,0.413381435,0.416105169,0.413080345,0.475443639,0.411343559,0.473085591,0.577309901,0.500876865,0.420080508,0.418261431,0.513980832,0.410761916,0.565184911,0.564450719,0.50103959,0.415549081,0.570360493,0.568565869,0.412567756,0.439790624,0.478864939,0.413045527,0.514446673,0.570967236,0.515508072,0.573322553,0.50030805,0.415594911,0.409948961,0.47817527,0.408799253,0.418369488,0.411755967,0.411743271,0.413067896,0.420965542,0.475456152,0.421062966,0.548047666,0.412562631,0.416079371,0.513272291,0.480436475,0.472785993,0.393427333,0.417651028,0.408986914,0.512631597,0.416133476,0.474118037,0.568668954,0.478328133,0.500391948,0.430167061,0.51367027,0.418000368,0.411821813,0.601424363,0.571374277,0.40922326,0.415837684,0.411420279,0.419038816,0.428278777,0.42201102,0.41986422,0.42843948,0.408793824,0.426193407,0.420151805,0.409731523,0.6013591,0.472676176,0.570031957,0.416156517,0.559943588,0.4218849,0.603266723,0.561065939,0.4158445,0.427897333,0.513312754,0.412225946,0.512092611,0.572318892,0.473862252,0.570924604
Gorilla_gorilla_3,0.243413942,0.360364011,0.334748869,0.245306096,0.485696627,0.243516084,0.236799022,0.240624591,0.235033966,0.397641533,0.334770902,0.396229156,0.247895452,0.248830935,0.399444835,0.240616481,0.497231635,0.468402385,0.339987236,0.475014976,0.243911729,0.243346296,0.244519697,0.332953083,0.393931217,0.247319073,0.395682162,0.393044669,0.233564983,0.331300514,0.239984565,0.258525841,0.485361535,0.48624198,0.392957688,0.23761265,0.25803961,0.235458942,0.484746378,0.488476962,0.399073114,0.47154376,0.331514728,0.237383981,0.48618128,0.235116903,0.376090535,0.243318215,0.238694653,0.446470752,0.243620203,0.490320455,0.246328804,0.375803009,0.491996003,0.243125182,0.251200615,0.39951277,0.261122206,0.398071353,0.501814647,0.235842257,0.494707433,0.473461712,0.249322979,0.243656901,0.490330495,0.255893832,0.394567969,0.244417219,0.238455038,0.249719006,0.498782711,0.39191531,0.391914841,0.391915075,0.234308768,0.23766185,0.383940011,0.244087502,0.342239812,0.236960193,0.46751511,0.332966788,0.393912207,0.375883587,0.399627757,0.235367777,0.393017346,0.240758384,0.243535844,0.240540622,0.497371312,0.39020761,0.342724692,0.331534691,0.360370918,0.240040734,0.243845371,0.239681397,0.334960052,0.237073383,0.330758934,0.496102839,0.375680147,0.249389836,0.246821505,0.395201666,0.236220721,0.476872361,0.475550485,0.375908128,0.243012008,0.485281965,0.482493567,0.238860402,0.277349954,0.340464138,0.239630026,0.39602045,0.486325793,0.39753482,0.49029171,0.374760408,0.24308328,0.235092229,0.339127557,0.233585071,0.246984879,0.2375915,0.237572576,0.239662911,0.250148193,0.334978811,0.250330991,0.448162887,0.238852566,0.243806219,0.394059861,0.577934548,0.330100797,0.211090082,0.246014659,0.233829187,0.393101658,0.243887571,0.332650376,0.482676982,0.339448727,0.374821351,0.263136605,0.394597761,0.246514493,0.237685797,0.531742597,0.487241882,0.234107797,0.243444,0.237177783,0.248021034,0.26016244,0.251733397,0.249089528,0.260396063,0.233576836,0.257370198,0.249525067,0.234765833,0.531631493,0.329908084,0.484809094,0.243921691,0.467995614,0.251620223,0.534116458,0.470025053,0.243454227,0.259468066,0.394123406,0.238329026,0.392138087,0.4887787,0.33215073,0.486267014
Homo_sapiens_2,0.59638031,0.65813528,0.644658842,0.597374016,0.724587968,0.596434201,0.592804975,0.594893128,0.591870285,0.677964501,0.644670523,0.677204266,0.5987457,0.59923933,0.67890733,0.594888854,0.730664703,0.715338869,0.647431303,0.718882609,0.596643839,0.596344554,0.596962882,0.643723867,0.675982276,0.598441076,0.676915133,0.675513845,0.591095702,0.642877626,0.594555464,0.604378224,0.724386241,0.724877336,0.675467766,0.593264558,0.604127318,0.59209641,0.724060485,0.726090225,0.678710974,0.717003302,0.642991159,0.59311863,0.724845341,0.591914142,0.666445638,0.596329727,0.593836919,0.703720053,0.59648912,0.727011344,0.597915446,0.666293652,0.727919031,0.59622773,0.600490672,0.678943222,0.605660174,0.678188801,0.73304148,0.59229921,0.729328817,0.718061427,0.599499378,0.596508514,0.727016786,0.60299071,0.676323437,0.596910337,0.593709744,0.599708269,0.73147693,0.674938152,0.674937905,0.674938029,0.591486332,0.593290802,0.670728193,0.596736645,0.648610162,0.592890729,0.714869058,0.643731101,0.67597221,0.666336238,0.679004182,0.592047973,0.675499423,0.594964001,0.596444676,0.594848869,0.730738702,0.674042926,0.648858463,0.643001738,0.65813893,0.594585126,0.596607996,0.594390121,0.644769869,0.592950797,0.642588696,0.730069386,0.666228085,0.599534408,0.598175771,0.67666139,0.592498481,0.719886215,0.719165531,0.666349182,0.59616798,0.724343349,0.722891981,0.593924964,0.614329101,0.647681925,0.594362965,0.67709399,0.724921771,0.677908083,0.726996331,0.665742622,0.596205607,0.591901132,0.646982323,0.591106313,0.598262755,0.593253513,0.593243459,0.594380335,0.599934509,0.644779758,0.600030631,0.704610357,0.593920819,0.596587277,0.676050354,0.401414755,0.642230813,0.579161836,0.597749145,0.5912349,0.675543928,0.596631093,0.643563644,0.722989118,0.647150577,0.665774803,0.606750509,0.676341373,0.598013636,0.593303457,0.748884137,0.725404856,0.591382303,0.596396165,0.593005769,0.598811812,0.605267806,0.600773863,0.599376167,0.605389721,0.591101961,0.603772729,0.599605958,0.591727738,0.748825325,0.642129836,0.724093615,0.596649067,0.715124185,0.600712689,0.750121643,0.716202773,0.596401541,0.60490162,0.676084083,0.593643136,0.675055943,0.726238103,0.643298376,0.724890573
Jaculus_jaculus_4,0.464965306,0.555323111,0.536102126,0.466330254,0.647782974,0.465031279,0.459814018,0.463047999,0.458559091,0.58367598,0.536117113,0.582566054,0.468641427,0.469714973,0.584975657,0.463042195,0.656044989,0.635027759,0.540789179,0.640060175,0.46533244,0.464918011,0.46574127,0.534161671,0.580592317,0.468112231,0.582067578,0.579991754,0.457434328,0.533153075,0.462578512,0.47823706,0.647547924,0.648075488,0.579929159,0.46050073,0.477926046,0.458851013,0.647101811,0.649727296,0.584688006,0.637216099,0.533344746,0.460370351,0.648034831,0.458619941,0.566662797,0.464898078,0.461352165,0.61917323,0.465111574,0.651161043,0.467218518,0.566466921,0.652391832,0.464751843,0.471583989,0.585027888,0.480304901,0.584057669,0.659759531,0.45916564,0.654334633,0.638776856,0.470045106,0.465138666,0.651168113,0.476051879,0.581129751,0.465664034,0.461132412,0.470389336,0.657337662,0.579180716,0.579180384,0.57918055,0.457969283,0.460540435,0.573053461,0.465458338,0.542383057,0.459946577,0.634398556,0.534171724,0.580579194,0.566525535,0.585111182,0.458794523,0.579972596,0.463126557,0.465045486,0.46299585,0.656163645,0.577738239,0.542538044,0.533358854,0.555327813,0.462622223,0.465287263,0.46231532,0.536288138,0.46004035,0.532690255,0.655302877,0.566355595,0.470099616,0.467728561,0.581776088,0.45944039,0.64133265,0.640386474,0.56654699,0.464677915,0.647467435,0.645311298,0.461506156,0.492558387,0.541027271,0.462277827,0.582363074,0.648139325,0.583518924,0.651140784,0.565522493,0.464723562,0.45860289,0.540114892,0.457448778,0.467883626,0.460485942,0.460472427,0.462301367,0.47069635,0.536301377,0.470829783,0.620321213,0.461500939,0.465260232,0.580683865,0.016121312,0.532308555,0.439996044,0.467003616,0.457634232,0.580032179,0.465315638,0.534027613,0.645447641,0.540321816,0.565562431,0.481970733,0.581152986,0.46737954,0.460557513,0.680710462,0.648709931,0.457824011,0.464988033,0.460197107,0.468749307,0.479602251,0.472183445,0.469883619,0.479784086,0.457443014,0.477058772,0.470174196,0.458354402,0.680643255,0.532179011,0.647150562,0.465339405,0.634716302,0.47200078,0.68245566,0.63614164,0.464995269,0.479081148,0.580728472,0.461027824,0.579342524,0.649988309,0.533645238,0.648093042
Macaca_fascicularis_12,0.228949887,0.345222851,0.320117192,0.230840655,0.472354584,0.2290555,0.222323424,0.226186987,0.220606908,0.3836572,0.320139195,0.382205388,0.233408648,0.23435162,0.385597493,0.226178859,0.483676442,0.454625795,0.325360679,0.461363133,0.229449425,0.228882071,0.230061825,0.318376591,0.379847555,0.232823316,0.381607998,0.378950835,0.219113244,0.316750904,0.225536814,0.244388205,0.47202633,0.473021051,0.378862954,0.223144645,0.243899074,0.221031284,0.471431242,0.4750292,0.385192731,0.457784319,0.316965832,0.222912616,0.472958144,0.220690189,0.360938706,0.228853898,0.224226085,0.432879292,0.229159233,0.476873433,0.231845336,0.360638618,0.478602242,0.228663117,0.236774929,0.385665466,0.246791696,0.384194009,0.488187703,0.221410895,0.481219048,0.459779775,0.234844243,0.229195933,0.47688351,0.241723886,0.380502144,0.229961044,0.223988535,0.235251691,0.48518986,0.377874673,0.377874203,0.377874438,0.219884173,0.223197279,0.369413404,0.229625782,0.32750796,0.222482109,0.453733586,0.318390168,0.37982859,0.360724154,0.38577923,0.220939828,0.378923195,0.22629913,0.229075067,0.226102914,0.483816522,0.375951184,0.32802943,0.31698583,0.345229804,0.225593817,0.229382563,0.225226671,0.320304293,0.222595888,0.316165188,0.482572185,0.360484826,0.23491087,0.232332885,0.381135976,0.221792495,0.463240104,0.461879309,0.360748584,0.228546864,0.471945108,0.46918642,0.224394284,0.263352804,0.325829945,0.225175274,0.381996207,0.473105585,0.383547641,0.476844579,0.359571468,0.228618368,0.220665367,0.324512803,0.219133375,0.23253036,0.223123254,0.223104266,0.225208161,0.235690247,0.320323061,0.235873221,0.43456816,0.224386454,0.229345691,0.379977363,0.04299534,0.315545114,0.195970836,0.231539985,0.219401141,0.379007972,0.22942523,0.318054045,0.469361752,0.324801092,0.359634939,0.248892036,0.380539823,0.232034848,0.223221247,0.51818898,0.473917802,0.219685985,0.228980174,0.222703333,0.233535731,0.246042198,0.237290103,0.234609802,0.2462753,0.219125115,0.243220986,0.235048946,0.220333699,0.518075435,0.315347725,0.471494251,0.229459275,0.454204645,0.237176277,0.520618678,0.456222753,0.228990463,0.245337762,0.380041248,0.223863441,0.378107642,0.475335294,0.317553654,0.473046194
